publicacion_id,sku,titulo,marca,modelo,origen_modelo,variantes_en_familia
MLA2067296925,616,Moneda Argentina Centavo 1942,Genérica,CJ# 190,referencia,1
MLA2067296931,516,Moneda Países Bajos 2 1/2 Cents 1929,Genérica,KM# 150,referencia,1
MLA2067296935,640,Moneda Argentina 2 Centavos 1945,Genérica,CJ# 179,referencia,3
MLA2067296941,785,Moneda Costa Rica 25 Colones 2023,Genérica,25 Colones,valor facial (referencias distintas),3
MLA2067296943,1205,Moneda Reino Unido 5 Pence 2017,Genérica,KM# 1334,referencia,1
MLA2067296945,1031,Moneda Congo Belga 1 Franco 1946,Genérica,KM# 26,referencia,1
MLA2067296947,1307,Moneda Uruguay 2 Centésimos 1869,Genérica,KM# 12,referencia,1
MLA2067296951,566,Moneda Italia 20 Centesimi 1918,Genérica,KM# 58,referencia,1
MLA2067296953,1261,Moneda Chipre 1 Cent 1998,Genérica,KM# 53.3,referencia,1
MLA2067296957,1268,Moneda Argentina Blister 1 Peso 2023,Genérica,KM# 194,referencia,1
MLA2067296959,641,Moneda Argentina 2 Centavos 1946,Genérica,CJ# 180,referencia,2
MLA2067296961,728,Moneda Chile 10 Centavos 1932,Genérica,KM# 166,referencia,1
MLA2067296965,503,Moneda Argentina 50 Centavos 2000,Genérica,50 Centavos,valor facial (referencias distintas),2
MLA2067296971,1200,Moneda Reino Unido 20 Pence 2016,Genérica,KM# 1111,referencia,1
MLA2067296975,983,Moneda Reino Unido 25 New Pence 1981,Genérica,KM# 925,referencia,3
MLA2067296979,1186,Moneda Gibraltar 25 New Pence 1971,Genérica,KM# 5,referencia,1
MLA2067296981,902,Moneda Italia 5 Centesimi 1925,Genérica,KM# 59,referencia,1
MLA2067296983,303,Moneda Jamaica 5 Dolares 2017,Genérica,KM. 163,referencia,1
MLA2067296987,1312,Moneda Estados Unidos 1/2 Dólar Kennedy 1968,Genérica,KM# 202a,referencia,1
MLA2067296993,1321,Moneda México 1 Centavo 1945,Genérica,KM# 415,referencia,1
MLA2067297017,210,Moneda Argentina 1 Peso Falsa 1995,Genérica,1 Peso FALSA,valor facial (sin referencia),1
